Month,Revenue
1,144138.34
2,259855.19
3,367069.18
4,98483.63
5,183371.19
6,145488.7
7,260649.17
8,163231.06
9,322182.16
10,214484.25
11,276826.71
12,490294.57
13,353657.08
14,232674.22
15,8152.79
16,125732.3
17,78206.72
18,454171.63
19,74507.34
20,355738.67
21,455889.56
22,82770.44
23,251076.06
24,151866.43
25,221660.76
26,214221.96
27,465982.61
28,404401.44
29,465251.82
30,9769.31
31,167482.1
32,336323.95
33,368847.19
34,75359.65
35,481878.47
36,358530.41
37,126489.49
38,30343.68
39,467118.47
40,481535.11
41,477177.69
42,96400.49
43,234014.76
44,258561.01
45,20551.83
46,392349.03
47,378822.77
48,141251.51
49,263452.38
50,216206.31
