Month,Revenue
Month 1,14619
Month 2,11728
Month 3,47106
Month 4,34342
Month 5,69244
Month 6,10134
Month 7,74750
Month 8,81869
Month 9,70924
Month 10,58706
Month 11,37827
Month 12,40625
Month 13,67565
Month 14,84025
Month 15,99732
Month 16,24335
Month 17,42276
Month 18,61242
Month 19,21059
Month 20,92014
Month 21,36792
Month 22,15275
Month 23,88229
Month 24,24291
Month 25,41101
Month 26,10105
Month 27,15572
Month 28,82073
Month 29,59968
Month 30,60021
Month 31,71130
Month 32,54696
Month 33,95418
Month 34,94997
Month 35,78345
Month 36,43542
Month 37,16747
Month 38,35585
Month 39,65630
Month 40,70145
Month 41,11638
Month 42,55788
Month 43,15758
Month 44,69643
Month 45,12809
Month 46,11927
Month 47,30337
Month 48,64964
Month 49,72691
Month 50,26007
